Week	java	c++	c#	python	JavaScript
2005-02-06 - 2005-02-12	78	21	13	7	28
2005-02-13 - 2005-02-19	80	21	14	7	29
2005-02-20 - 2005-02-26	83	21	14	8	30
2005-02-27 - 2005-03-05	80	23	14	7	29
2005-03-06 - 2005-03-12	81	21	14	7	29
2005-03-13 - 2005-03-19	80	21	14	7	30
2005-03-20 - 2005-03-26	75	20	14	8	28
2005-03-27 - 2005-04-02	76	20	13	6	26
2005-04-03 - 2005-04-09	77	22	14	7	27
2005-04-10 - 2005-04-16	75	21	14	7	28
2005-04-17 - 2005-04-23	78	21	14	6	28
2005-04-24 - 2005-04-30	77	20	14	7	28
2005-05-01 - 2005-05-07	74	19	13	8	26
2005-05-08 - 2005-05-14	78	20	14	7	28
2005-05-15 - 2005-05-21	76	20	15	7	29
2005-05-22 - 2005-05-28	76	19	14	7	30
2005-05-29 - 2005-06-04	74	19	13	7	28
2005-06-05 - 2005-06-11	74	19	14	7	29
2005-06-12 - 2005-06-18	73	18	15	7	28
2005-06-19 - 2005-06-25	73	19	15	7	29
2005-06-26 - 2005-07-02	72	17	14	7	28
2005-07-03 - 2005-07-09	68	17	13	7	28
2005-07-10 - 2005-07-16	73	17	14	7	28
2005-07-17 - 2005-07-23	70	17	15	7	28
2005-07-24 - 2005-07-30	69	17	14	6	28
2005-07-31 - 2005-08-06	68	17	14	7	28
2005-08-07 - 2005-08-13	68	16	14	6	27
2005-08-14 - 2005-08-20	66	16	13	6	25
2005-08-21 - 2005-08-27	67	16	13	6	27
2005-08-28 - 2005-09-03	66	17	13	6	26
2005-09-04 - 2005-09-10	64	17	12	6	24
2005-09-11 - 2005-09-17	68	18	13	7	26
2005-09-18 - 2005-09-24	69	19	13	7	25
2005-09-25 - 2005-10-01	68	18	13	7	25
2005-10-02 - 2005-10-08	69	19	14	13	26
2005-10-09 - 2005-10-15	70	19	13	10	26
2005-10-16 - 2005-10-22	71	19	14	8	27
2005-10-23 - 2005-10-29	71	20	13	7	26
2005-10-30 - 2005-11-05	65	18	12	7	25
2005-11-06 - 2005-11-12	70	19	13	7	25
2005-11-13 - 2005-11-19	70	19	14	7	26
2005-11-20 - 2005-11-26	68	18	13	6	26
2005-11-27 - 2005-12-03	71	19	13	7	26
2005-12-04 - 2005-12-10	69	18	13	6	26
2005-12-11 - 2005-12-17	66	17	13	7	25
2005-12-18 - 2005-12-24	65	15	13	7	24
2005-12-25 - 2005-12-31	62	13	10	6	22
2006-01-01 - 2006-01-07	60	14	11	6	22
2006-01-08 - 2006-01-14	63	15	12	7	24
2006-01-15 - 2006-01-21	64	16	12	7	25
2006-01-22 - 2006-01-28	63	16	12	6	24
2006-01-29 - 2006-02-04	63	15	12	7	25
2006-02-05 - 2006-02-11	65	17	13	6	25
2006-02-12 - 2006-02-18	63	16	13	6	25
2006-02-19 - 2006-02-25	67	17	14	7	26
2006-02-26 - 2006-03-04	64	17	13	7	25
2006-03-05 - 2006-03-11	65	17	14	7	25
2006-03-12 - 2006-03-18	65	16	13	6	25
2006-03-19 - 2006-03-25	63	16	13	6	24
2006-03-26 - 2006-04-01	62	17	13	6	25
2006-04-02 - 2006-04-08	64	17	13	6	25
2006-04-09 - 2006-04-15	61	16	13	6	24
2006-04-16 - 2006-04-22	62	16	13	6	25
2006-04-23 - 2006-04-29	63	16	14	6	25
2006-04-30 - 2006-05-06	59	15	13	6	23
2006-05-07 - 2006-05-13	61	15	14	6	25
2006-05-14 - 2006-05-20	62	15	14	6	25
2006-05-21 - 2006-05-27	61	15	13	6	25
2006-05-28 - 2006-06-03	62	15	13	6	24
2006-06-04 - 2006-06-10	60	15	13	6	24
2006-06-11 - 2006-06-17	58	14	13	6	24
2006-06-18 - 2006-06-24	57	14	13	6	23
2006-06-25 - 2006-07-01	57	13	12	6	23
2006-07-02 - 2006-07-08	54	13	12	6	22
2006-07-09 - 2006-07-15	54	13	13	6	23
2006-07-16 - 2006-07-22	59	13	14	6	24
2006-07-23 - 2006-07-29	58	13	13	6	23
2006-07-30 - 2006-08-05	55	12	13	6	23
2006-08-06 - 2006-08-12	54	12	13	6	23
2006-08-13 - 2006-08-19	54	12	13	6	23
2006-08-20 - 2006-08-26	57	12	13	6	23
2006-08-27 - 2006-09-02	54	13	13	6	22
2006-09-03 - 2006-09-09	54	13	12	6	22
2006-09-10 - 2006-09-16	56	14	13	6	23
2006-09-17 - 2006-09-23	58	14	13	6	23
2006-09-24 - 2006-09-30	58	14	13	6	23
2006-10-01 - 2006-10-07	56	14	12	6	21
2006-10-08 - 2006-10-14	58	15	13	6	22
2006-10-15 - 2006-10-21	60	15	13	6	23
2006-10-22 - 2006-10-28	58	15	13	6	23
2006-10-29 - 2006-11-04	59	15	13	6	22
2006-11-05 - 2006-11-11	62	15	13	6	23
2006-11-12 - 2006-11-18	59	15	13	6	23
2006-11-19 - 2006-11-25	59	14	12	6	22
2006-11-26 - 2006-12-02	57	15	13	6	23
2006-12-03 - 2006-12-09	57	14	13	6	22
2006-12-10 - 2006-12-16	55	14	13	6	21
2006-12-17 - 2006-12-23	56	12	12	6	22
2006-12-24 - 2006-12-30	52	10	10	5	18
2006-12-31 - 2007-01-06	50	10	10	6	19
2007-01-07 - 2007-01-13	55	12	12	6	21
2007-01-14 - 2007-01-20	55	13	12	6	21
2007-01-21 - 2007-01-27	57	13	12	6	22
2007-01-28 - 2007-02-03	56	13	12	6	22
2007-02-04 - 2007-02-10	59	13	12	6	22
2007-02-11 - 2007-02-17	56	13	12	6	21
2007-02-18 - 2007-02-24	58	12	12	6	22
2007-02-25 - 2007-03-03	55	13	12	6	22
2007-03-04 - 2007-03-10	58	14	13	6	22
2007-03-11 - 2007-03-17	58	13	13	6	22
2007-03-18 - 2007-03-24	55	13	13	6	22
2007-03-25 - 2007-03-31	55	14	13	6	22
2007-04-01 - 2007-04-07	54	12	13	6	21
2007-04-08 - 2007-04-14	55	13	13	6	21
2007-04-15 - 2007-04-21	56	13	13	6	22
2007-04-22 - 2007-04-28	55	13	13	6	21
2007-04-29 - 2007-05-05	51	12	12	6	19
2007-05-06 - 2007-05-12	56	13	13	6	21
2007-05-13 - 2007-05-19	58	13	13	6	22
2007-05-20 - 2007-05-26	57	13	13	6	22
2007-05-27 - 2007-06-02	55	13	13	6	21
2007-06-03 - 2007-06-09	55	12	14	6	22
2007-06-10 - 2007-06-16	53	12	13	6	22
2007-06-17 - 2007-06-23	54	12	13	6	22
2007-06-24 - 2007-06-30	53	11	13	6	21
2007-07-01 - 2007-07-07	52	11	13	6	21
2007-07-08 - 2007-07-14	52	12	14	6	22
2007-07-15 - 2007-07-21	53	11	14	6	22
2007-07-22 - 2007-07-28	50	10	12	6	21
2007-07-29 - 2007-08-04	49	10	12	6	21
2007-08-05 - 2007-08-11	50	11	12	6	21
2007-08-12 - 2007-08-18	49	10	12	5	20
2007-08-19 - 2007-08-25	49	11	13	6	21
2007-08-26 - 2007-09-01	50	11	12	6	21
2007-09-02 - 2007-09-08	50	11	11	5	19
2007-09-09 - 2007-09-15	51	12	12	6	20
2007-09-16 - 2007-09-22	52	12	12	6	21
2007-09-23 - 2007-09-29	51	13	12	6	19
2007-09-30 - 2007-10-06	52	12	11	5	19
2007-10-07 - 2007-10-13	54	13	12	6	20
2007-10-14 - 2007-10-20	51	12	12	6	20
2007-10-21 - 2007-10-27	53	13	12	6	20
2007-10-28 - 2007-11-03	53	13	12	6	20
2007-11-04 - 2007-11-10	52	13	11	6	19
2007-11-11 - 2007-11-17	52	13	12	6	21
2007-11-18 - 2007-11-24	57	14	14	6	21
2007-11-25 - 2007-12-01	57	14	14	7	23
2007-12-02 - 2007-12-08	56	14	14	6	22
2007-12-09 - 2007-12-15	49	12	13	6	21
2007-12-16 - 2007-12-22	48	11	12	6	20
2007-12-23 - 2007-12-29	43	8	9	5	16
2007-12-30 - 2008-01-05	41	8	9	5	16
2008-01-06 - 2008-01-12	47	11	12	5	18
2008-01-13 - 2008-01-19	48	11	12	5	19
2008-01-20 - 2008-01-26	48	11	12	5	19
2008-01-27 - 2008-02-02	49	11	12	6	19
2008-02-03 - 2008-02-09	47	11	12	5	18
2008-02-10 - 2008-02-16	47	11	12	5	19
2008-02-17 - 2008-02-23	49	11	13	5	19
2008-02-24 - 2008-03-01	48	12	13	6	19
2008-03-02 - 2008-03-08	51	12	13	6	20
2008-03-09 - 2008-03-15	50	12	13	5	20
2008-03-16 - 2008-03-22	49	11	12	5	19
2008-03-23 - 2008-03-29	48	11	12	5	19
2008-03-30 - 2008-04-05	48	12	13	5	20
2008-04-06 - 2008-04-12	49	12	13	6	19
2008-04-13 - 2008-04-19	49	12	13	6	20
2008-04-20 - 2008-04-26	48	12	13	6	20
2008-04-27 - 2008-05-03	45	10	12	5	17
2008-05-04 - 2008-05-10	47	11	13	6	18
2008-05-11 - 2008-05-17	47	11	13	6	19
2008-05-18 - 2008-05-24	46	11	13	5	18
2008-05-25 - 2008-05-31	47	11	13	5	18
2008-06-01 - 2008-06-07	46	10	13	5	18
2008-06-08 - 2008-06-14	46	10	13	6	19
2008-06-15 - 2008-06-21	46	10	13	6	20
2008-06-22 - 2008-06-28	45	10	13	5	20
2008-06-29 - 2008-07-05	45	10	13	5	19
2008-07-06 - 2008-07-12	45	10	13	6	19
2008-07-13 - 2008-07-19	47	10	13	6	19
2008-07-20 - 2008-07-26	44	9	13	6	19
2008-07-27 - 2008-08-02	44	9	13	6	19
2008-08-03 - 2008-08-09	44	9	13	5	19
2008-08-10 - 2008-08-16	43	9	12	6	18
2008-08-17 - 2008-08-23	44	9	13	5	18
2008-08-24 - 2008-08-30	44	10	12	5	19
2008-08-31 - 2008-09-06	44	10	12	5	18
2008-09-07 - 2008-09-13	46	11	12	5	18
2008-09-14 - 2008-09-20	46	10	12	5	18
2008-09-21 - 2008-09-27	46	11	13	5	18
2008-09-28 - 2008-10-04	45	10	11	6	17
2008-10-05 - 2008-10-11	45	11	12	6	18
2008-10-12 - 2008-10-18	47	11	12	6	19
2008-10-19 - 2008-10-25	46	12	12	6	18
2008-10-26 - 2008-11-01	45	11	12	6	17
2008-11-02 - 2008-11-08	46	11	12	6	18
2008-11-09 - 2008-11-15	45	11	12	6	18
2008-11-16 - 2008-11-22	45	11	13	6	18
2008-11-23 - 2008-11-29	43	11	12	5	17
2008-11-30 - 2008-12-06	46	11	12	6	18
2008-12-07 - 2008-12-13	45	11	12	6	18
2008-12-14 - 2008-12-20	44	10	12	5	18
2008-12-21 - 2008-12-27	40	8	10	5	15
2008-12-28 - 2009-01-03	37	7	8	5	13
2009-01-04 - 2009-01-10	42	9	11	5	17
2009-01-11 - 2009-01-17	44	10	12	5	16
2009-01-18 - 2009-01-24	43	10	11	5	16
2009-01-25 - 2009-01-31	43	10	10	6	16
2009-02-01 - 2009-02-07	45	10	12	6	17
2009-02-08 - 2009-02-14	43	10	12	6	17
2009-02-15 - 2009-02-21	43	10	13	6	18
2009-02-22 - 2009-02-28	44	10	12	6	18
2009-03-01 - 2009-03-07	45	11	12	6	18
2009-03-08 - 2009-03-14	44	11	12	6	18
2009-03-15 - 2009-03-21	45	11	13	6	18
2009-03-22 - 2009-03-28	44	11	12	6	17
2009-03-29 - 2009-04-04	44	11	12	6	18
2009-04-05 - 2009-04-11	43	10	12	6	17
2009-04-12 - 2009-04-18	43	10	12	6	17
2009-04-19 - 2009-04-25	43	11	11	6	18
2009-04-26 - 2009-05-02	41	10	11	6	17
2009-05-03 - 2009-05-09	41	10	11	6	17
2009-05-10 - 2009-05-16	43	11	12	6	18
2009-05-17 - 2009-05-23	41	10	12	5	17
2009-05-24 - 2009-05-30	41	10	11	5	17
2009-05-31 - 2009-06-06	42	10	11	6	17
2009-06-07 - 2009-06-13	41	9	11	5	17
2009-06-14 - 2009-06-20	40	9	11	5	17
2009-06-21 - 2009-06-27	38	9	11	5	17
2009-06-28 - 2009-07-04	38	8	11	6	16
2009-07-05 - 2009-07-11	40	9	11	6	17
2009-07-12 - 2009-07-18	38	9	11	5	17
2009-07-19 - 2009-07-25	38	9	11	6	17
2009-07-26 - 2009-08-01	38	8	11	6	17
2009-08-02 - 2009-08-08	40	8	11	6	17
2009-08-09 - 2009-08-15	38	8	11	6	16
2009-08-16 - 2009-08-22	39	9	11	6	16
2009-08-23 - 2009-08-29	40	9	11	5	16
2009-08-30 - 2009-09-05	41	9	10	5	16
2009-09-06 - 2009-09-12	40	10	11	6	16
2009-09-13 - 2009-09-19	40	10	11	6	16
2009-09-20 - 2009-09-26	39	9	10	6	16
2009-09-27 - 2009-10-03	38	9	9	5	15
2009-10-04 - 2009-10-10	39	10	10	6	15
2009-10-11 - 2009-10-17	39	10	10	6	15
2009-10-18 - 2009-10-24	41	10	10	6	16
2009-10-25 - 2009-10-31	40	10	10	6	15
2009-11-01 - 2009-11-07	41	10	10	6	15
2009-11-08 - 2009-11-14	40	10	9	5	16
2009-11-15 - 2009-11-21	40	10	10	6	16
2009-11-22 - 2009-11-28	39	10	10	5	15
2009-11-29 - 2009-12-05	40	10	10	5	15
2009-12-06 - 2009-12-12	38	9	9	5	15
2009-12-13 - 2009-12-19	37	9	9	5	15
2009-12-20 - 2009-12-26	34	7	8	5	13
2009-12-27 - 2010-01-02	31	6	6	4	12
2010-01-03 - 2010-01-09	37	8	8	5	14
2010-01-10 - 2010-01-16	38	8	9	5	15
2010-01-17 - 2010-01-23	38	9	9	5	15
2010-01-24 - 2010-01-30	38	9	9	5	15
2010-01-31 - 2010-02-06	38	9	9	5	15
2010-02-07 - 2010-02-13	37	9	9	5	14
2010-02-14 - 2010-02-20	37	9	9	5	14
2010-02-21 - 2010-02-27	38	9	9	5	15
2010-02-28 - 2010-03-06	38	10	9	5	15
2010-03-07 - 2010-03-13	38	10	10	5	15
2010-03-14 - 2010-03-20	39	10	10	5	15
2010-03-21 - 2010-03-27	38	9	10	5	15
2010-03-28 - 2010-04-03	38	9	9	5	15
2010-04-04 - 2010-04-10	39	9	9	5	14
2010-04-11 - 2010-04-17	40	9	10	5	15
2010-04-18 - 2010-04-24	40	9	10	5	15
2010-04-25 - 2010-05-01	37	9	10	5	14
2010-05-02 - 2010-05-08	36	9	9	5	14
2010-05-09 - 2010-05-15	37	9	10	6	15
2010-05-16 - 2010-05-22	37	9	10	5	15
2010-05-23 - 2010-05-29	36	9	10	5	14
2010-05-30 - 2010-06-05	35	8	9	5	14
2010-06-06 - 2010-06-12	35	8	10	5	14
2010-06-13 - 2010-06-19	34	8	9	5	14
2010-06-20 - 2010-06-26	35	8	9	5	13
2010-06-27 - 2010-07-03	34	8	9	5	14
2010-07-04 - 2010-07-10	34	7	9	5	13
2010-07-11 - 2010-07-17	34	7	9	5	13
2010-07-18 - 2010-07-24	33	7	9	5	13
2010-07-25 - 2010-07-31	34	7	9	5	13
2010-08-01 - 2010-08-07	34	7	9	5	13
2010-08-08 - 2010-08-14	34	7	8	5	13
2010-08-15 - 2010-08-21	36	7	9	5	13
2010-08-22 - 2010-08-28	34	7	8	5	13
2010-08-29 - 2010-09-04	34	7	8	5	13
2010-09-05 - 2010-09-11	34	8	8	5	13
2010-09-12 - 2010-09-18	34	8	9	5	13
2010-09-19 - 2010-09-25	34	8	8	5	12
2010-09-26 - 2010-10-02	36	9	9	5	13
2010-10-03 - 2010-10-09	35	9	8	5	13
2010-10-10 - 2010-10-16	36	9	9	5	13
2010-10-17 - 2010-10-23	37	9	9	5	13
2010-10-24 - 2010-10-30	36	9	9	5	13
2010-10-31 - 2010-11-06	35	8	8	5	12
2010-11-07 - 2010-11-13	36	9	9	6	13
2010-11-14 - 2010-11-20	37	9	9	5	13
2010-11-21 - 2010-11-27	34	9	8	5	12
2010-11-28 - 2010-12-04	34	8	8	5	13
2010-12-05 - 2010-12-11	34	8	8	5	13
2010-12-12 - 2010-12-18	34	8	8	5	12
2010-12-19 - 2010-12-25	32	7	7	5	11
2010-12-26 - 2011-01-01	30	6	6	4	10
2011-01-02 - 2011-01-08	32	7	7	5	11
2011-01-09 - 2011-01-15	32	8	8	5	12
2011-01-16 - 2011-01-22	34	8	8	5	12
2011-01-23 - 2011-01-29	33	8	8	5	12
2011-01-30 - 2011-02-05	34	7	7	5	12
2011-02-06 - 2011-02-12	34	8	8	5	12
2011-02-13 - 2011-02-19	34	8	8	5	13
2011-02-20 - 2011-02-26	35	8	8	5	12
2011-02-27 - 2011-03-05	36	8	8	5	13
2011-03-06 - 2011-03-12	35	8	8	5	12
2011-03-13 - 2011-03-19	35	8	8	5	12
2011-03-20 - 2011-03-26	35	8	8	5	13
2011-03-27 - 2011-04-02	35	8	8	5	12
2011-04-03 - 2011-04-09	35	8	8	6	12
2011-04-10 - 2011-04-16	35	8	8	5	13
2011-04-17 - 2011-04-23	34	8	8	5	12
2011-04-24 - 2011-04-30	33	8	8	5	12
2011-05-01 - 2011-05-07	32	7	7	6	12
2011-05-08 - 2011-05-14	34	8	8	6	12
2011-05-15 - 2011-05-21	34	8	8	5	13
2011-05-22 - 2011-05-28	34	8	8	5	12
2011-05-29 - 2011-06-04	32	7	8	5	12
2011-06-05 - 2011-06-11	32	7	8	5	12
2011-06-12 - 2011-06-18	34	7	7	5	12
2011-06-19 - 2011-06-25	34	7	8	5	12
2011-06-26 - 2011-07-02	34	7	8	5	12
2011-07-03 - 2011-07-09	33	7	8	5	12
2011-07-10 - 2011-07-16	34	7	7	6	12
2011-07-17 - 2011-07-23	32	6	7	5	12
2011-07-24 - 2011-07-30	32	6	7	5	12
2011-07-31 - 2011-08-06	33	6	7	5	12
2011-08-07 - 2011-08-13	33	6	7	5	12
2011-08-14 - 2011-08-20	32	6	7	5	12
2011-08-21 - 2011-08-27	34	7	7	5	12
2011-08-28 - 2011-09-03	32	7	7	5	11
2011-09-04 - 2011-09-10	33	7	7	5	12
2011-09-11 - 2011-09-17	36	8	7	5	13
2011-09-18 - 2011-09-24	36	8	7	5	12
2011-09-25 - 2011-10-01	34	8	7	5	12
2011-10-02 - 2011-10-08	34	8	7	5	11
2011-10-09 - 2011-10-15	35	8	8	5	12
2011-10-16 - 2011-10-22	37	9	8	6	12
2011-10-23 - 2011-10-29	35	8	8	6	12
2011-10-30 - 2011-11-05	35	8	8	6	12
2011-11-06 - 2011-11-12	36	8	8	5	12
2011-11-13 - 2011-11-19	36	8	8	6	13
2011-11-20 - 2011-11-26	36	8	8	5	12
2011-11-27 - 2011-12-03	35	8	8	5	12
2011-12-04 - 2011-12-10	34	8	8	6	12
2011-12-11 - 2011-12-17	34	7	8	5	12
2011-12-18 - 2011-12-24	32	6	7	5	11
2011-12-25 - 2011-12-31	31	5	6	4	9
2012-01-01 - 2012-01-07	31	6	7	5	10
2012-01-08 - 2012-01-14	33	7	8	5	12
2012-01-15 - 2012-01-21	33	7	7	5	12
2012-01-22 - 2012-01-28	32	7	7	5	11
2012-01-29 - 2012-02-04	33	7	8	6	12
2012-02-05 - 2012-02-11	33	7	8	5	12
2012-02-12 - 2012-02-18	35	7	8	5	12
2012-02-19 - 2012-02-25	35	8	8	6	12
2012-02-26 - 2012-03-03	36	8	8	6	12
2012-03-04 - 2012-03-10	36	8	8	6	12
2012-03-11 - 2012-03-17	35	8	8	6	12
2012-03-18 - 2012-03-24	34	7	8	6	12
2012-03-25 - 2012-03-31	34	7	8	6	12
2012-04-01 - 2012-04-07	36	7	8	6	11
2012-04-08 - 2012-04-14	35	7	8	5	12
2012-04-15 - 2012-04-21	35	7	9	6	12
2012-04-22 - 2012-04-28	34	7	8	6	12
2012-04-29 - 2012-05-05	32	7	8	6	11
2012-05-06 - 2012-05-12	33	7	8	5	12
2012-05-13 - 2012-05-19	32	7	8	5	12
2012-05-20 - 2012-05-26	32	7	9	5	12
2012-05-27 - 2012-06-02	32	7	8	5	11
2012-06-03 - 2012-06-09	32	6	8	5	12
2012-06-10 - 2012-06-16	32	6	9	5	12
2012-06-17 - 2012-06-23	33	6	8	6	12
2012-06-24 - 2012-06-30	32	6	8	5	12
2012-07-01 - 2012-07-07	33	6	8	5	11
2012-07-08 - 2012-07-14	33	6	8	6	12
2012-07-15 - 2012-07-21	32	6	8	5	12
2012-07-22 - 2012-07-28	32	6	8	5	12
2012-07-29 - 2012-08-04	31	6	8	5	11
2012-08-05 - 2012-08-11	32	6	8	5	12
2012-08-12 - 2012-08-18	32	6	8	7	11
2012-08-19 - 2012-08-25	34	6	8	6	12
2012-08-26 - 2012-09-01	36	6	8	5	12
2012-09-02 - 2012-09-08	36	6	8	5	11
2012-09-09 - 2012-09-15	35	7	9	6	12
2012-09-16 - 2012-09-22	34	7	8	6	12
2012-09-23 - 2012-09-29	36	7	8	6	12
2012-09-30 - 2012-10-06	35	7	8	6	11
2012-10-07 - 2012-10-13	33	7	8	6	12
2012-10-14 - 2012-10-20	35	7	8	6	12
2012-10-21 - 2012-10-27	35	7	8	6	11
2012-10-28 - 2012-11-03	34	7	8	5	11
2012-11-04 - 2012-11-10	33	7	8	6	11
2012-11-11 - 2012-11-17	32	7	8	6	11
2012-11-18 - 2012-11-24	33	7	8	6	11
2012-11-25 - 2012-12-01	34	7	9	6	11
2012-12-02 - 2012-12-08	32	7	8	6	11
2012-12-09 - 2012-12-15	32	7	8	6	11
2012-12-16 - 2012-12-22	31	6	8	5	10
2012-12-23 - 2012-12-29	28	5	6	4	8
2012-12-30 - 2013-01-05	27	4	5	5	8
2013-01-06 - 2013-01-12	35	6	8	6	11
2013-01-13 - 2013-01-19	45	6	8	6	11
2013-01-20 - 2013-01-26	37	6	8	6	11
2013-01-27 - 2013-02-02	36	6	8	6	11
2013-02-03 - 2013-02-09	37	6	8	6	11
2013-02-10 - 2013-02-16	35	6	8	6	11
2013-02-17 - 2013-02-23	36	7	8	6	11
2013-02-24 - 2013-03-02	37	7	8	6	12
2013-03-03 - 2013-03-09	38	7	8	6	12
2013-03-10 - 2013-03-16	36	7	8	6	12
2013-03-17 - 2013-03-23	36	7	9	6	11
2013-03-24 - 2013-03-30	35	6	8	6	11
2013-03-31 - 2013-04-06	34	6	8	6	11
2013-04-07 - 2013-04-13	34	7	8	6	11
2013-04-14 - 2013-04-20	39	7	9	6	11
2013-04-21 - 2013-04-27	40	7	9	6	11
2013-04-28 - 2013-05-04	33	6	8	6	11
2013-05-05 - 2013-05-11	33	6	8	6	11
2013-05-12 - 2013-05-18	34	6	8	6	11
2013-05-19 - 2013-05-25	34	6	8	6	11
2013-05-26 - 2013-06-01	33	6	8	6	11
2013-06-02 - 2013-06-08	34	6	8	6	11
2013-06-09 - 2013-06-15	33	6	8	6	11
2013-06-16 - 2013-06-22	36	6	8	6	11
2013-06-23 - 2013-06-29	36	6	8	6	11
2013-06-30 - 2013-07-06	34	5	8	6	11
2013-07-07 - 2013-07-13	34	5	8	6	11
2013-07-14 - 2013-07-20	34	5	8	6	11
2013-07-21 - 2013-07-27	33	5	8	6	11
2013-07-28 - 2013-08-03	33	5	8	6	11
2013-08-04 - 2013-08-10	32	5	7	9	10
2013-08-11 - 2013-08-17	33	5	7	6	11
2013-08-18 - 2013-08-24	31	5	8	6	11
2013-08-25 - 2013-08-31	33	6	8	6	11
2013-09-01 - 2013-09-07	31	6	8	6	11
2013-09-08 - 2013-09-14	33	6	8	6	11
2013-09-15 - 2013-09-21	33	6	8	6	11
2013-09-22 - 2013-09-28	34	7	8	6	11
2013-09-29 - 2013-10-05	33	7	8	6	11
2013-10-06 - 2013-10-12	34	7	9	7	12
2013-10-13 - 2013-10-19	41	7	8	7	11
2013-10-20 - 2013-10-26	39	7	8	7	11
2013-10-27 - 2013-11-02	35	7	8	7	11
2013-11-03 - 2013-11-09	35	7	8	6	11
2013-11-10 - 2013-11-16	36	7	8	7	12
2013-11-17 - 2013-11-23	33	7	8	8	12
2013-11-24 - 2013-11-30	33	7	8	9	11
2013-12-01 - 2013-12-07	33	7	8	7	11
2013-12-08 - 2013-12-14	33	6	8	7	12
2013-12-15 - 2013-12-21	32	6	8	6	11
2013-12-22 - 2013-12-28	29	5	6	5	8
2013-12-29 - 2014-01-04	28	4	5	5	8
2014-01-05 - 2014-01-11	32	6	7	6	11
2014-01-12 - 2014-01-18	41	6	8	6	11
2014-01-19 - 2014-01-25	39	6	8	6	12
2014-01-26 - 2014-02-01	36	6	8	6	11
2014-02-02 - 2014-02-08	35	6	8	6	11
2014-02-09 - 2014-02-15	35	6	8	6	11
2014-02-16 - 2014-02-22	36	6	8	7	12
2014-02-23 - 2014-03-01	36	7	8	7	12
2014-03-02 - 2014-03-08	35	6	8	7	12
2014-03-09 - 2014-03-15	35	6	8	7	12
2014-03-16 - 2014-03-22	35	6	8	7	11
2014-03-23 - 2014-03-29	34	6	8	7	12
2014-03-30 - 2014-04-05	34	6	8	7	12
2014-04-06 - 2014-04-12	34	6	8	7	12
2014-04-13 - 2014-04-19	36	6	8	7	11
